State,date,fips,cases,deaths,month,day
Alabama,2020-04-02,1,1270,32,4,2
Alabama,2020-06-12,1,23710,769,6,12
Alabama,2020-05-12,1,10464,435,5,12
Alabama,2020-05-28,1,16530,591,5,28
Alabama,2020-05-05,1,8437,315,5,5
Alabama,2020-08-07,1,98301,1735,8,7
Alabama,2020-08-09,1,101334,1768,8,9
Alabama,2020-07-15,1,59067,1211,7,15
Alabama,2020-05-11,1,10164,403,5,11
Alabama,2020-04-09,1,2838,78,4,9
Alabama,2020-05-13,1,10700,450,5,13
Alabama,2020-05-27,1,16032,583,5,27
Alabama,2020-06-11,1,22845,755,6,11
Alabama,2020-07-19,1,67011,1287,7,19
Alabama,2020-06-24,1,32064,891,6,24
Alabama,2020-08-01,1,89349,1603,8,1
Alabama,2020-03-17,1,39,0,3,17
Alabama,2020-07-07,1,45785,1033,7,7
Alabama,2020-07-11,1,51947,1114,7,11
Alabama,2020-03-25,1,386,1,3,25
Alabama,2020-07-23,1,74212,1397,7,23
Alabama,2020-06-25,1,33206,896,6,25
Alabama,2020-05-14,1,11101,473,5,14
Alabama,2020-06-03,1,18851,653,6,3
Alabama,2020-06-09,1,21422,729,6,9
Alabama,2020-04-21,1,5327,186,4,21
Alabama,2020-04-26,1,6421,219,4,26
Alabama,2020-05-25,1,14986,566,5,25
Alabama,2020-06-14,1,25615,773,6,14
Alabama,2020-03-31,1,999,14,3,31
Alabama,2020-03-26,1,538,3,3,26
Alabama,2020-04-06,1,2005,53,4,6
Alabama,2020-04-23,1,5832,197,4,23
Alabama,2020-08-02,1,91444,1627,8,2
Alabama,2020-07-05,1,43953,1007,7,5
Alabama,2020-07-30,1,85762,1565,7,30
Alabama,2020-08-21,1,113632,1996,8,21
Alabama,2020-04-29,1,6925,262,4,29
Alabama,2020-08-19,1,111478,1944,8,19
Alabama,2020-06-08,1,20925,718,6,8
Alabama,2020-06-13,1,24601,773,6,13
Alabama,2020-06-22,1,30454,841,6,22
Alabama,2020-05-30,1,17359,618,5,30
Alabama,2020-06-26,1,34183,907,6,26
Alabama,2020-04-16,1,4404,137,4,16
Alaska,2020-07-12,2,1772,15,7,12
Alaska,2020-04-04,2,169,3,4,4
Alaska,2020-07-11,2,1656,15,7,11
Alaska,2020-06-19,2,821,10,6,19
Alaska,2020-06-30,2,1132,12,6,30
Alaska,2020-03-25,2,59,0,3,25
Alaska,2020-03-26,2,69,0,3,26
Alaska,2020-06-29,2,1085,12,6,29
Alaska,2020-04-07,2,211,4,4,7
Alaska,2020-05-06,2,370,8,5,6
Alaska,2020-06-24,2,926,10,6,24
Alaska,2020-06-21,2,859,10,6,21
Alaska,2020-07-13,2,1843,15,7,13
Alaska,2020-05-05,2,369,7,5,5
Alaska,2020-08-02,2,3982,22,8,2
Alaska,2020-08-09,2,4471,24,8,9
Alaska,2020-03-28,2,102,1,3,28
Alaska,2020-05-28,2,430,8,5,28
Alaska,2020-05-24,2,409,8,5,24
Alaska,2020-05-27,2,417,8,5,27
Alaska,2020-06-27,2,1027,12,6,27
Alaska,2020-04-19,2,317,7,4,19
Alaska,2020-08-13,2,4748,25,8,13
Alaska,2020-06-18,2,795,10,6,18
Alaska,2020-08-20,2,5330,27,8,20
Alaska,2020-07-28,2,3348,20,7,28
Alaska,2020-07-19,2,2275,16,7,19
Alaska,2020-04-23,2,335,7,4,23
Alaska,2020-08-14,2,4867,25,8,14
Alaska,2020-03-23,2,36,0,3,23
Alaska,2020-05-04,2,368,7,5,4
Alaska,2020-07-29,2,3440,20,7,29
Alaska,2020-04-21,2,327,7,4,21
Alaska,2020-06-01,2,476,8,6,1
Alaska,2020-06-23,2,905,10,6,23
Alaska,2020-07-20,2,2412,16,7,20
Alaska,2020-03-24,2,42,0,3,24
Alaska,2020-06-26,2,1001,12,6,26
Alaska,2020-06-20,2,845,10,6,20
Alaska,2020-03-27,2,85,1,3,27
Alaska,2020-07-18,2,2157,16,7,18
Alaska,2020-04-05,2,183,4,4,5
Alaska,2020-05-25,2,412,8,5,25
Alaska,2020-08-05,2,4181,23,8,5
Alaska,2020-06-28,2,1060,12,6,28
Alaska,2020-05-07,2,373,8,5,7
Alaska,2020-05-03,2,366,7,5,3
Alaska,2020-05-31,2,469,8,5,31
Alaska,2020-05-30,2,441,8,5,30
Alaska,2020-06-25,2,971,10,6,25
Alaska,2020-05-22,2,404,8,5,22
Alaska,2020-05-26,2,416,8,5,26
Alaska,2020-06-02,2,497,8,6,2
Alaska,2020-04-22,2,333,7,4,22
Alaska,2020-05-29,2,436,8,5,29
Alaska,2020-05-23,2,409,8,5,23
Alaska,2020-05-21,2,402,8,5,21
Alaska,2020-03-12,2,1,0,3,12
Alaska,2020-04-12,2,270,6,4,12
Alaska,2020-04-20,2,319,7,4,20
Alaska,2020-06-22,2,869,10,6,22
Alaska,2020-07-10,2,1579,15,7,10
Alaska,2020-04-06,2,189,4,4,6
Alaska,2020-08-12,2,4653,25,8,12
Alaska,2020-04-13,2,275,6,4,13
Alaska,2020-03-22,2,22,0,3,22
Alaska,2020-05-02,2,363,7,5,2
Alaska,2020-07-25,2,2866,18,7,25
Alaska,2020-08-17,2,5108,26,8,17
Alaska,2020-04-11,2,255,6,4,11
Alaska,2020-07-31,2,3675,21,7,31
Alaska,2020-03-17,2,6,0,3,17
Alaska,2020-03-20,2,14,0,3,20
Alaska,2020-04-27,2,343,7,4,27
Alaska,2020-08-18,2,5175,27,8,18
Alaska,2020-06-06,2,579,8,6,6
Alaska,2020-06-07,2,588,8,6,7
Alaska,2020-08-03,2,4062,23,8,3
Alaska,2020-07-26,2,3100,18,7,26
Alaska,2020-03-30,2,120,2,3,30
Alaska,2020-08-11,2,4587,24,8,11
Alaska,2020-08-19,2,5245,27,8,19
Alaska,2020-05-14,2,387,8,5,14
Alaska,2020-08-15,2,4952,26,8,15
Alaska,2020-04-01,2,143,2,4,1
Alaska,2020-07-02,2,1224,12,7,2
Alaska,2020-04-03,2,156,2,4,3
Alaska,2020-06-10,2,642,9,6,10
Alaska,2020-07-09,2,1521,15,7,9
Alaska,2020-03-14,2,1,0,3,14
Alaska,2020-04-16,2,298,7,4,16
Alaska,2020-07-30,2,3557,21,7,30
Alaska,2020-04-15,2,291,7,4,15
Alaska,2020-06-09,2,620,9,6,9
Alaska,2020-06-14,2,734,10,6,14
Alaska,2020-06-15,2,738,10,6,15
Alaska,2020-04-17,2,307,7,4,17
Alaska,2020-08-22,2,5492,29,8,22
Alaska,2020-03-15,2,1,0,3,15
Alaska,2020-07-04,2,1339,14,7,4
Alaska,2020-05-10,2,378,8,5,10
Alaska,2020-05-16,2,392,8,5,16
Alaska,2020-03-19,2,12,0,3,19
Alaska,2020-08-16,2,5058,26,8,16
Alaska,2020-04-02,2,146,2,4,2
Alaska,2020-03-16,2,3,0,3,16
Alaska,2020-07-06,2,1401,14,7,6
Alaska,2020-05-15,2,388,8,5,15
Alaska,2020-07-22,2,2617,17,7,22
Alaska,2020-03-18,2,9,0,3,18
Alaska,2020-04-28,2,349,7,4,28
Alaska,2020-05-09,2,377,8,5,9
Alaska,2020-07-14,2,1897,15,7,14
Alaska,2020-07-03,2,1284,13,7,3
Alaska,2020-04-08,2,224,5,4,8
Alaska,2020-07-08,2,1472,15,7,8
Alaska,2020-05-17,2,396,8,5,17
Alaska,2020-04-10,2,244,5,4,10
Alaska,2020-07-27,2,3204,19,7,27
Alaska,2020-05-18,2,399,8,5,18
Alaska,2020-06-16,2,751,10,6,16
Alaska,2020-05-13,2,383,8,5,13
Alaska,2020-04-24,2,337,7,4,24
Alaska,2020-05-19,2,399,8,5,19
Alaska,2020-08-06,2,4221,23,8,6
Alaska,2020-05-11,2,380,8,5,11
Alaska,2020-08-04,2,4123,23,8,4
Alaska,2020-05-01,2,362,7,5,1
Alaska,2020-06-08,2,607,8,6,8
Alaska,2020-07-01,2,1174,12,7,1
Alaska,2020-04-25,2,337,7,4,25
Alaska,2020-03-21,2,21,0,3,21
Alaska,2020-03-31,2,133,2,3,31
Alaska,2020-08-07,2,4286,23,8,7
Alaska,2020-07-24,2,2746,17,7,24
Alaska,2020-03-13,2,1,0,3,13
Alaska,2020-05-20,2,402,8,5,20
Alaska,2020-08-08,2,4371,24,8,8
Alaska,2020-04-29,2,353,7,4,29
Alaska,2020-05-12,2,383,8,5,12
Alaska,2020-06-03,2,516,8,6,3
Alaska,2020-08-10,2,4537,24,8,10
Alaska,2020-07-17,2,2083,15,7,17
Alaska,2020-06-11,2,666,9,6,11
Alaska,2020-05-08,2,376,8,5,8
Alaska,2020-06-12,2,688,10,6,12
Alaska,2020-04-30,2,353,7,4,30
Alaska,2020-08-01,2,3825,22,8,1
Alaska,2020-07-23,2,2682,17,7,23
Alaska,2020-06-13,2,722,10,6,13
